Sci name,NCBI,mass inf kg,mass sup kg,Avg mass kg,refMass,Speed max km/hr,refSpeed,stance,Diet
Taurotragus oryx,9945,317.00,942.00,629.50,Mammals Species,69.98,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Oryx gazella,9958,190.00,240.00,215.00,https://www.gbif.org/,60.00,https://animalia.bio/,Ungulates,herbivore
Kobus ellipsiprymnus,9962,160.00,300.00,230.00,https://www.gbif.org/,50.00,https://africafreak.com/waterbuck,Ungulates,herbivore
Capricornis sp,9966,25.00,150.00,87.50,www.wikipedia.com,,,Ungulates,herbivore
Syncerus caffer,9970,,,620.00,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,57.02,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Marmota monax,9995,,,4.00,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,16.00,Garland_1982_the relation between max running and mass,Plantigrade,herbivore
Hystrix cristata,10137,10.00,30.00,20.00,ADW,,,Plantigrade,herbivore
Hydrochoerus hydrochaeris,10149,35.00,66.00,50.50,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,35.00,https://currumbinsanctuary.com.au/stories/blogs/10-facts-about-capybaras-worlds-largest-rodents,Digitigrade,herbivore
Myocastor coypus,10157,5.00,10.00,7.50,ADW,,,Plantigrade,herbivore
Bubalus depressicornis,27596,90.00,225.00,157.50,ADW,,,Ungulates,herbivore
Ursus maritimus,29073,,,265.00,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,40.00,Garland_1993_Does metatarsal/femur ratio predict maximal running speed,Plantigrade,carnivore
Vombatus ursinus,29139,22.00,40.00,31.00,https://www.gbif.org/,40.23,https://a-z-animals.com/,Plantigrade,herbivore
Bos frontalis,30520,590.00,941.00,765.50,Mammals Species,,,Ungulates,herbivore
Bos grunniens,30521,300.00,1000.00,650.00,ADW,,,Ungulates,herbivore
Taxidea taxus,30554,4.00,12.00,8.00,ADW,30.00,https://a-z-animals.com/,Plantigrade,carnivore
Lasiorhinus latifrons,30668,17.50,36.00,26.75,https://www.gbif.org/,40.00,https://animalia.bio/,Plantigrade,herbivore
Canis simensis,32534,11.20,19.30,15.25,ADW,48.28,https://www.animalspot.net,Digitigrade,carnivore
Acinonyx jubatus,32536,,,39.00,Christansen_2002_Locomotion in terrestrial mammals,104.95,Christansen_2002_Locomotion in terrestrial mammals,Digitigrade,carnivore
Leopardus pardalis,32538,6.60,15.50,11.05,https://www.gbif.org/,61.16,https://a-z-animals.com/,Digitigrade,carnivore
Erethizon dorsatum,34844,5.00,14.00,9.50,ADW,,,Plantigrade,herbivore
Rupicapra rupicapra,34869,,,38.02,Christansen_2002_Locomotion in terrestrial mammals,50.00,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Naemorhedus goral,34871,25.00,30.00,27.50,ADW,,,Ungulates,herbivore
Oreamnos americanus,34873,60.00,115.00,87.50,https://www.gbif.org/,33.04,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Saiga tatarica,34875,,,35.00,Garland_1982_the relation between max running and mass,80.00,Garland_1983_the relation between max running and mass,Ungulates,herbivore
Ovibos moschatus,37176,180.00,400.00,290.00,ADW,39.99,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Hemitragus jemlahicus,37179,55.00,124.00,89.50,https://www.gbif.org/,,,Ungulates,herbivore
